seed,N,nu,dt,tmax,sigma,t,tau_l2,tau_linf,tau_l1
70,128,0.1,0.002,1.0,0.0,0.0,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.02,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.04,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.06,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.08,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.1,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.12,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.14,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.16,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.18,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.2,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.22,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.24,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.26,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.28,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.3,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.32,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.34,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.36,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.38,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.4,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.42,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.44,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.46,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.48,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.5,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.52,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.54,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.56,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.58,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.6,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.62,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.64,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.66,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.68,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.7000000000000001,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.72,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.74,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.76,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.78,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.8,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.8200000000000001,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.84,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.86,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.88,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.9,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.92,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.9400000000000001,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.96,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,0.98,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.0,1.0,0.0,0.0,0.0
70,128,0.1,0.002,1.0,0.04908738521234052,0.0,0.0035963023565370156,0.009580488835512185,0.0024023336178294738
70,128,0.1,0.002,1.0,0.04908738521234052,0.02,0.0034233008472757858,0.008782082986302259,0.002345155320291851
70,128,0.1,0.002,1.0,0.04908738521234052,0.04,0.0032717034209012743,0.008084060630503348,0.0022929974521159018
70,128,0.1,0.002,1.0,0.04908738521234052,0.06,0.0031385996400826264,0.007469671767153074,0.0022452416363685198
70,128,0.1,0.002,1.0,0.04908738521234052,0.08,0.0030215917161076594,0.006925618895596758,0.0022013667971334783
70,128,0.1,0.002,1.0,0.04908738521234052,0.1,0.0029186790233476966,0.006441217303123831,0.0021609296285251493
70,128,0.1,0.002,1.0,0.04908738521234052,0.12,0.002828172396539374,0.006007788845835554,0.002123549706405892
70,128,0.1,0.002,1.0,0.04908738521234052,0.14,0.002748629702164634,0.005618216682472449,0.0020888979890327586
70,128,0.1,0.002,1.0,0.04908738521234052,0.16,0.0026788068814538072,0.0052666131669796,0.0020566878323251343
70,128,0.1,0.002,1.0,0.04908738521234052,0.18,0.0026176204209796164,0.0049480687063543916,0.0020266678984557497
70,128,0.1,0.002,1.0,0.04908738521234052,0.2,0.002564118374736712,0.004658459468209392,0.0019986165086717782
70,128,0.1,0.002,1.0,0.04908738521234052,0.22,0.002517457853466523,0.004394298475390551,0.001972337110619705
70,128,0.1,0.002,1.0,0.04908738521234052,0.24,0.0024768874447891444,0.004278818766486503,0.0019476546145988656
70,128,0.1,0.002,1.0,0.04908738521234052,0.26,0.0024417334143391214,0.004375841878172748,0.0019244124133859077
